BVGM#,Label,Piece Title,Franchise,Game Title,Year of release,YouTube URL
1592,#1592,Valak Mountain (Night),Xeno,Xenoblade Chronicles,2010,https://youtu.be/xhANP29SYs4
1591,#1591,Invitation to Madness,The Last Story,The Last Story,2011,https://youtu.be/qvXZFM_2Ez0
1590,#1590,So Boring,Persona,Persona 5,2016,https://youtu.be/fmfc9Vk44q8
1589,#1589,Last Battle,Lufia,Lufia,1993,https://youtu.be/H56RkQP2kBY
1588,#1588,Robo Manus (Stage 5),Battletoads,Battletoads & Double Dragon,1993,https://youtu.be/aYRmCcsn73U
1587,#1587,Flood of Power,Midnight Resistance,Midnight Resistance,1989,https://youtu.be/LBHawVwF68k
1586,#1586,Menu,Beetle Adventure Racing,Beetle Adventure Racing,1999,https://youtu.be/OQSxXX63hAk
1585,#1585,A Lone Prayer,Persona,Persona,2009,https://youtu.be/jlVbljQ99tY
1584,#1584,Osiris,Electronic Super Joy,Electronic Super Joy 2,2013,https://youtu.be/-paSKz2__N0
1583,#1583,Human Race,Goldrunner,Goldrunner,1987,https://youtu.be/LolYCoQPkrQ
1582,#1582,Birth of a Wish,Nier,Nier Automata,2017,https://www.youtube.com/watch?v=PFxukTTJiQs
1581,#1581,Crystal Teardrops,Castlevania,Castlevania Symphony of the Night,1997,https://www.youtube.com/watch?v=7oxvNhrVFIQ
1580,#1580,Chains of Fate,Diablo,Diablo III,2012,https://youtu.be/bF8Uofv3COI
1579,#1579,Red Shadow's Revenge,Slime-San,Slime-San,2017,https://youtu.be/N550LxfvuLs
1578,#1578,Rooster Ancestral Song,Songbird Symphony,Songbird Symphony,2019,https://youtu.be/g1M3nVh1AoM
1577,#1577,Temple,Sonic,Sonic Unleashed,2008,https://youtu.be/lLT71lLA4kU
1576,#1576,Love You Love You Love,Mighty Switch Force,Mighty Switch Force,2011,https://youtu.be/Eo3FWI2hXak
1575,#1575,"Restoring the Light, Facing the Dark",Ori,Ori and the Blind Forest,2015,https://youtu.be/qug0SnzQYjo
1574,#1574,Bon Mucho's Song,LocoRoco,LocoRoco,2006,https://youtu.be/kBl1bY-NaCQ
1573,#1573,Warp Room,Crash Bandicoot,Crash Bandicoot 3: Warped,1998,https://youtu.be/9BVql1hBMms
1572,#1572,Graves,Breath of Death,Breath of Death VII,2010,https://youtu.be/bJNW0kK44JE
1571,#1571,Tim 2,Lemmings,Lemmings,1991,https://youtu.be/pAihP55Ma7M
1570,#1570,Stage 3,Journey to Silius,Journey to Silius,1990,https://youtu.be/j9HTrlW00OI
1569,#1569,Hidden Village,Zelda,Twilight Princess,2006,https://www.youtube.com/watch?v=3hlOP--cLmU
1568,#1568,The Millenium Girl - Battlefield's Awakening,Etrian Odyssey,Etrian Odyssey Untold,2013,https://youtu.be/MU9dE4ek2UM
1567,#1567,Firefly Flamenco,Furdiburb,Furdiburb,2011,https://youtu.be/bHUbrpA7NPU
1566,#1566,Mythical Town,Soul Blazer,Illusion of Time,1993,https://www.youtube.com/watch?v=xy4XuJUqZ0g
1565,#1565,Wandering the Crystal Blue,Castlevania,Castlevania Order of Ecclesia,2008,https://youtu.be/ER2KPPOrFWw
